Sector: Agriculture,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
DCM Shriram Industries Ltd.,DCMSRIND,Sugar,1364.04,NSE,156.98,0.51,2,2025-09,292.56,1594.02,2025-09,1990.02,60.1,2025-09,22.38,19.63,1.49,2,2025-03,0.58,11.84,13.94,"DCMSRIND,"
Godavari Biorefineries Ltd.,GODAVARIB,Sugar,1288.1,NSE,252.05,-2.74,2,2025-03,489.41,1746.14,2025-06,1880.96,-13.32,2025-06,0,,1.68,2,2025-03,0.63,-3.65,5.79,"GODAVARIB,"
Andrew Yule & Company Ltd.,ANDREWYU,Tea/Coffee,1256.12,BSE,25.70,1.02,2,2025-03,105.49,1323.54,2025-06,312.32,10.36,2025-06,62.9,4.72,3.46,2,2025-03,0.31,-7.53,-1.45,"ANDREWYU,"
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,1252.11,NSE,119.32,0.02,1,2025-09,29.84,1281.67,2025-09,353.56,27.73,2025-09,45.16,0.78,10.71,1,2025-03,0.88,28.86,21.19,"BSHSL,"
GRP Ltd.,GRPLTD,Rubber  Products,1101.33,NSE,2056.90,1.71,2,2025-03,146.17,1246.07,2025-06,548,28.09,2025-06,39.22,0.66,5.71,2,2025-03,0.76,17.16,17.31,"GRPLTD,"
AVT Natural Products Ltd.,AVTNPL,Agriculture,1096.29,NSE,72.19,0.47,2,2025-03,108.97,1168.27,2025-06,583.94,54.38,2025-06,20.16,2.78,2.11,2,2025-03,0.22,9.88,12.95,"AVTNPL,"
Zuari Industries Ltd.,ZUARIIND,Sugar,917.41,NSE,308.35,-2.22,2,2025-03,2499.11,2741.3,2025-06,1002.08,-157.32,2025-06,0,0,0.18,2,2025-03,0.5,-2.1,2.67,"ZUARIIND,"
Regaal Resources Ltd.,REGAAL,Agriculture,909.92,NSE,88.75,0.19,1,2025-03,507.05,1363.18,,,,2025-03,19.09,,1.65,1,2025-03,2.09,25.29,16.91,"REGAAL,"
Uttam Sugar Mills Ltd.,UTTAMSUGAR,Sugar,899.87,NSE,235.66,-1.39,2,2025-03,832.75,1720.33,2025-06,2020.96,93.92,2025-06,9.27,,1.12,2,2025-03,1.06,10.89,10.77,"UTTAMSUGAR,"
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,851.1,NSE,132.34,-0.58,2,2025-03,910,1636.89,2025-06,2718.84,51.72,2025-06,16.53,-0.67,0.75,2,2025-03,0.79,4.65,6.27,"DHAMPURSUG,"
Avadh Sugar & Energy Ltd.,AVADHSUGAR,Sugar,820.86,NSE,410.30,-1.64,1,2025-03,1369.91,2185.82,2025-06,2644.21,70.83,2025-06,11.59,-77.26,0.75,1,2025-03,1.24,8.26,9.21,"AVADHSUGAR,"
Dwarikesh Sugar Industries Ltd.,DWARKESH,Sugar,776.04,NSE,41.94,0.60,1,2025-09,171.21,660.39,2025-09,1422.97,15.05,2025-09,51.56,-2.52,1.03,1,2025-03,0.62,2.87,5.5,"DWARKESH,"
Magadh Sugar & Energy Ltd.,MAGADSUGAR,Sugar,742.77,NSE,528.55,-1.26,1,2025-03,707.2,1448.77,2025-06,1295.93,98.24,2025-06,7.56,0.83,0.89,1,2025-03,0.85,13.86,12.74,"MAGADSUGAR,"
Apex Frozen Foods Ltd.,APEX,Aquaculture,730.31,NSE,233.52,-1.51,1,2025-09,40.59,757.01,2025-09,924.54,22.71,2025-09,32.15,-0.76,1.45,1,2025-03,0.15,0.78,2.46,"APEX,"
Mcleod Russel India Ltd.,MCLEODRUSS,Tea/Coffee,642.09,NSE,61.36,-2.01,2,2025-03,1901.53,2534.76,2025-06,1204.41,-220.68,2025-06,0,0,-2.83,2,2025-03,-10.38,0,-1.03,"MCLEODRUSS,"
Shri Ahimsa Naturals Ltd.,SHRIAHIMSA,Agriculture,622.45,NSE,266.80,5.00,1,2025-09,,587.99,2025-03,95.81,21.96,2025-03,28.34,,2.8,2,2025-03,0,18.41,24.23,"SHRIAHIMSA,"
Shri Venkatesh Refineries Ltd.,SVRL,Solvent  Extraction,588.93,BSE,273.00,3.49,1,2025-03,182.82,766.84,2025-03,701.64,18.08,2025-03,32.58,,7.19,1,2025-03,2.23,24.45,15.42,"SVRL,"
Apis India Ltd.,APIS,Agriculture,576.16,BSE,1045.65,5.00,2,2025-03,63.88,639.75,2025-06,350.13,21.13,2025-06,25.5,0.5,3.25,2,2025-03,0.37,13.1,15.12,"APIS,"
Davangere Sugar Company Ltd.,DAVANGERE,Sugar,550.55,NSE,3.81,2.70,1,2025-03,270.75,817.91,2025-06,193.48,11.3,2025-06,48.71,1.23,1.1,1,2024-03,1.43,7.15,9.35,"DAVANGERE,"
Sharat Industries Ltd.,SHINDL,Aquaculture,535.47,BSE,139.00,1.46,2,2025-03,112.93,622.49,2025-06,405.88,12.27,2025-06,43.63,,3.74,2,2025-03,0.83,9.03,11.89,"SHINDL,"
Dhampur Bio Organics Ltd.,DBOL,Sugar,506.54,NSE,75.85,-1.03,2,2025-03,1152.25,1619.81,2025-06,2838.82,-7.43,2025-06,0,,0.51,2,2025-03,1.14,1.45,3.92,"DBOL,"
The Ugar Sugar Works Ltd.,UGARSUGAR,Sugar,465.41,NSE,41.33,-1.92,1,2025-03,610.98,1057.46,2025-06,1426.35,-18.15,2025-06,0,,2.32,1,2025-03,2.84,-7.25,3.35,"UGARSUGAR,"
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,455.45,NSE,13.83,-3.82,2,2025-09,233.49,664.56,2025-09,2603.22,35.75,2025-09,12.74,0.22,2.02,2,2025-03,1.11,13.58,16.16,"MGEL,"
Rubfila International Ltd.,RUBFILA,Rubber  Products,426.76,NSE,78.23,0.44,2,2025-03,0,380.53,2025-06,565.11,29,2025-06,14.71,1.25,1.42,2,2025-03,0,10.43,14.13,"RUBFILA,"
HPC Biosciences Ltd.,HPCBL,Agriculture,409.85,BSE,25.68,,1,2023-03,,409.36,2023-03,0.21,0.02,2023-03,0,0,12.48,1,2021-03,0,3.62,3.69,"HPCBL,"
Goodricke Group Ltd.,GOODRICKE,Tea/Coffee,404.68,BSE,187.35,-0.27,1,2025-03,68.07,463.1,2025-06,906.51,10.76,2025-06,37.61,-7.16,1.48,1,2025-03,0.25,7.84,6.98,"GOODRICKE,"
Kings Infra Ventures Ltd.,KINGSINFR,Aquaculture,376.16,BSE,155.00,0.68,2,2025-03,60.17,436.17,2025-06,129.86,13.52,2025-06,27.54,,5.07,2,2025-03,0.85,20.08,20.3,"KINGSINFR,"
Freshara Agro Exports Ltd.,FRESHARA,Agriculture,370.11,NSE,157.50,-4.55,1,2025-03,95.04,432.27,2025-03,250.64,28.79,2025-03,12.86,,2.9,1,2025-03,0.74,37.23,24.97,"FRESHARA,"
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,350.19,NSE,194.94,3.75,2,2025-03,99.56,448.24,2025-06,532.71,26.46,2025-06,13.23,1.33,2.19,2,2025-03,0.65,9.99,11.38,"HARRMALAYA,"
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,Sugar,334.6,NSE,29.49,-2.93,2,2025-03,99.32,385.99,2025-06,281.16,-20.58,2025-06,0,0,0.71,2,2025-03,0.22,3.24,6.54,"KCPSUGIND,"
Tierra Agrotech Ltd.,TIERRA,Agriculture,334.59,BSE,51.01,-8.98,2,2025-03,0.6,331.65,2025-06,67.6,-11.17,2025-06,0,,3.08,2,2025-03,0.01,-13.57,-16.38,"TIERRA,"
Mawana Sugars Ltd.,MAWANASUG,Sugar,333.94,NSE,85.48,-0.56,2,2025-09,7.67,326.68,2025-09,1506.8,104.49,2025-09,3.2,0.15,0.7,2,2025-03,0.85,24.26,16.84,"MAWANASUG,"
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,327.06,NSE,171.10,2.56,2,2025-03,122.5,360.66,2025-06,404.73,39.92,2025-06,7.69,,0.48,2,2025-03,0.19,6.15,6.89,"NATHBIOGEN,"
Indag Rubber Ltd.,INDAG,Rubber  Products,318.15,BSE,121.00,-3.39,2,2025-09,0.19,316.43,2025-09,208.3,4.35,2025-09,52.23,-3.88,1.39,2,2025-03,0,2.08,3.13,"INDAG,"
Elgi Rubber Company Ltd.,ELGIRUBCO,Rubber  Products,314.11,NSE,62.76,-2.73,2,2025-03,269.43,543.57,2025-06,372.96,-26.16,2025-06,0,0,7.68,2,2024-03,1.62,6.24,8.23,"ELGIRUBCO,"
Wardwizard Foods and Beverages Ltd.,WARDWIZFBL,Solvent  Extraction,288.51,BSE,11.22,2.28,1,2025-03,31.36,319.23,2025-06,105.25,-10.73,2025-06,0,,9.41,1,2025-03,0.97,-34.99,-15.52,"WARDWIZFBL,"
Kotyark Industries Ltd.,KOTYARK,Agriculture,284.58,NSE,276.85,-1.83,1,2025-03,58.73,343.11,2025-03,283.81,14.09,2025-03,20.19,,1.97,2,2024-03,0.47,20.19,23.02,"KOTYARK,"
Ramdevbaba Solvent Ltd.,RBS,Solvent  Extraction,273.54,NSE,119.65,-2.41,1,2025-09,111.55,384.95,2025-03,928.43,15.03,2025-03,18.2,,1.9,2,2025-03,1.86,13.84,8.24,"RBS,"
Jay Shree Tea & Industries Ltd.,JAYSREETEA,Tea/Coffee,268.79,NSE,93.17,0.38,2,2025-03,314.76,575.5,2025-06,887.46,77.62,2025-06,2.12,0.09,0.66,2,2025-03,0.75,22.01,17.46,"JAYSREETEA,"
Indo US Bio-Tech Ltd.,INDOUS,Agriculture,267.49,NSE,132.87,-0.87,1,2025-03,14.84,282.08,2025-06,109.89,17.8,2025-06,15.03,0.33,3.21,1,2025-03,0.19,23.03,21.15,"INDOUS,"
Ponni Sugars (Erode) Ltd.,PONNIERODE,Sugar,253.09,NSE,292.80,-0.71,1,2025-09,,210.4,2025-09,384.29,18.82,2025-09,13.45,-1.54,0.47,1,2025-03,0,3.56,5.18,"PONNIERODE,"
K.M. Sugar Mills Ltd.,KMSUGAR,Sugar,250.24,NSE,27.09,-1.10,2,2025-03,281.85,523.64,2025-06,697.74,41.67,2025-06,6.01,0.43,0.82,2,2025-03,0.96,13.3,12.11,"KMSUGAR,"
Kothari Sugars And Chemicals Ltd.,KOTARISUG,Sugar,247.67,NSE,29.88,-1.81,1,2025-03,49.17,295.94,2025-06,287.09,12.21,2025-06,20.29,-1.57,0.85,1,2025-03,0.17,3.67,5.93,"KOTARISUG,"
Sakthi Sugars Ltd.,SAKHTISUG,Sugar,236.39,NSE,19.93,0.05,1,2025-09,834.81,1063.55,2025-09,932.26,26.89,2025-09,8.79,0.57,1.35,1,2025-03,3.94,50.52,16.32,"SAKHTISUG,"
Neelamalai Agro Industries Ltd.,NEAGI,Tea/Coffee,227.18,BSE,3652.00,0.00,2,2025-03,0,225.98,2025-06,23.14,-1.6,2025-06,8.47,1.19,0.76,2,2025-03,0,8.05,8.06,"NEAGI,"
Rossell India Ltd.,ROSSELLIND,Tea/Coffee,226.59,NSE,60.15,-0.30,1,2025-03,86.22,312.14,2025-06,195.11,20.33,2025-06,11.15,,1.15,2,2024-03,0.65,4.36,6.28,"ROSSELLIND,"
Gayatri Rubbers and Chemicals Ltd.,GRCL,Rubber  Products,223.32,NSE,389.20,4.99,1,2025-03,0.79,224.06,2025-03,31.91,2.85,2025-03,78.41,,15.82,1,2025-03,0.06,22.44,31.92,"GRCL,"
Rana Sugars Ltd.,RANASUG,Sugar,220.68,NSE,14.30,-0.42,1,2025-03,388.58,555.23,2025-06,1781.66,36.69,2025-06,6.02,-5.78,0.41,1,2025-03,0.68,6.49,8.15,"RANASUG,"
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,Tea/Coffee,213.62,NSE,690.00,3.60,1,2025-03,46.23,259.38,2025-06,55.62,5.49,2025-06,38.9,3,0.97,2,2024-03,0.11,2.86,4.16,"PKTEA,"
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,Tea/Coffee,209.43,NSE,419.15,-2.86,1,2025-09,,203.19,2025-09,85.14,21.3,2025-09,9.83,0.85,0.9,1,2025-03,0,8.72,10.08,"UNITEDTEA,"
Eco Friendly Food Processing Park Ltd.,EFPL,Agriculture,203.32,BSE,8.21,,1,2023-03,0.04,203.18,2023-03,0.47,0.12,2023-03,0,0,,1,2022-03,0.51,2.59,1.82,"EFPL,"
Captain Pipes Ltd.,CAPPIPES,Rubber  Products,196.05,BSE,12.76,-0.31,2,2025-09,33.34,229.37,2025-03,76.75,4.41,2025-03,22.39,,4.36,2,2025-03,0.36,19.88,19.62,"CAPPIPES,"
JK Agri Genetics Ltd.,JKAGRI,Agriculture,195.24,BSE,421.00,-1.34,2,2025-09,,193.01,2025-03,161.79,-2.5,2025-03,0,,1.7,2,2025-03,0.02,-2.33,3.13,"JKAGRI,"
Sampann Utpadan India Ltd.,SAMPANN,Rubber  Products,189.33,NSE,38.89,-6.27,2,2025-09,86.2,275.45,2025-09,118.87,10.33,2025-09,18.33,1.53,4.66,2,2025-03,10.5,55.63,6.01,"SAMPANN,"
Oswal Overseas Ltd.,OSWALOR,Sugar,182.98,BSE,141.60,1.98,1,2025-09,25.31,206.87,2025-09,43.55,-11.11,2025-09,0,,-12.18,1,2025-03,-59.32,0,-33.52,"OSWALOR,"
Somi Conveyor Beltings Ltd.,SOMICONVEY,Rubber  Products,177.93,NSE,152.83,-1.67,1,2025-03,21.41,193.3,2025-06,112.25,5.94,2025-06,29.93,1.69,2.29,1,2025-03,0.28,7.43,10.35,"SOMICONVEY,"
Dolfin Rubbers Ltd.,DOLFIN,Rubber  Products,177.83,BSE,175.30,0.11,1,2025-03,17.89,194.86,2025-06,145.18,4.86,2025-06,36.58,2.46,5.09,1,2025-03,0.54,16.63,17.24,"DOLFIN,"
Dhunseri Tea & Industries Ltd.,DTIL,Tea/Coffee,172.79,NSE,162.07,0.37,2,2025-03,257.39,410.07,2025-06,473.44,-2.74,2025-06,0,,0.32,2,2025-03,0.5,-3.85,-0.88,"DTIL,"
Mangalam Seeds Ltd.,MSL,Agriculture,169.09,BSE,154.00,-2.41,2,2025-03,64.76,232.19,2025-06,120.08,10.34,2025-06,16.36,0.73,2.02,2,2025-03,0.81,13.74,12.34,"MSL,"
Upsurge Seeds Of Agriculture Ltd.,USASEEDS,Agriculture,169.03,NSE,167.60,,1,2025-03,54.31,223.22,2025-03,136.79,8.49,2025-03,19.9,,3.45,1,2024-03,1.04,17.12,13.08,"USASEEDS,"
Vishwaraj Sugar Industries Ltd.,VISHWARAJ,Sugar,168.16,NSE,7.71,-1.41,1,2025-06,349.52,514.45,2025-06,485.72,-35.44,2025-06,0,,0.64,1,2025-03,1.39,-13.49,0.49,"VISHWARAJ,"
Dollex Agrotech Ltd.,DOLLEX,Sugar,163.59,NSE,40.95,-2.15,1,2025-03,171.78,334.56,2025-03,237.43,8.28,2025-03,19.75,,1.97,1,2025-03,2.6,13.36,6.9,"DOLLEX,"
Sheetal Universal Ltd.,SHEETAL,Agriculture,161.3,NSE,140.80,-0.49,1,2025-03,22.11,183,2025-03,105.68,9.32,2025-03,17.31,,4.67,2,2024-03,0.44,10.1,12.81,"SHEETAL,"
Ameenji Rubber Ltd.,AMEENJI,Rubber  Products,161.25,BSE,141.00,-0.04,1,2025-03,45.9,207,,,,2025-03,20.99,,3.11,2,2025-03,2.07,44.2,27.22,"AMEENJI,"
Sheel Biotech Ltd.,SHEEL,Agriculture,157.73,NSE,77.50,1.97,1,2025-03,17.36,174.63,,,,2025-03,14.83,,1.34,1,2025-03,0.21,13.59,14.78,"SHEEL,"
SBEC Sugar Ltd.,SBECSUG,Sugar,154.83,BSE,32.50,3.83,2,2025-03,202.06,355.71,2025-06,609.19,-32.33,2025-06,0,,-1.87,2,2025-03,-3.56,0,12.4,"SBECSUG,"
Indian Sucrose Ltd.,INDSUCR,Sugar,148.81,BSE,86.48,-0.72,1,2025-03,211.91,215.29,2025-06,504.87,37.56,2025-06,3.96,0.57,0.57,1,2024-03,0.97,16.53,17.2,"INDSUCR,"
Naturite Agro Products Ltd.,NAPL,Agriculture,148.29,BSE,280.00,4.24,1,2025-09,11.45,159.72,2025-09,26.9,-0.4,2025-09,0,,13.94,1,2025-03,1.3,-21.4,-16.07,"NAPL,"
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,Agriculture,137.75,NSE,15.06,-1.38,2,2025-03,41.93,179.44,2025-06,266.91,13.52,2025-06,10.19,4.17,2.7,2,2025-03,0.96,8.41,9.88,"OSWALSEEDS,"
Zeal Aqua Ltd.,ZEAL,Aquaculture,128.46,BSE,10.19,-1.26,1,2025-03,181.44,309.23,2025-06,542.32,15.58,2025-06,8.24,0.6,1.42,1,2025-03,2.04,12.04,14.7,"ZEAL,"
James Warren Tea Ltd.,JAMESWARREN,Tea/Coffee,126.91,BSE,343.80,2.05,1,2025-03,0,125.23,2025-06,161.14,105.94,2025-06,1.2,0.02,0.63,1,2025-03,0,74.08,75.97,"JAMESWARREN,"
Sir Shadi Lal Enterprises Ltd.,SSLEL,Sugar,125.47,BSE,239.00,-0.42,1,2025-09,360.79,480.56,2025-09,337.68,-21.27,2025-09,0,,-0.55,1,2025-03,-1.58,0,-127.75,"SSLEL,"
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Sugar,125.39,NSE,37.93,1.20,1,2025-09,333.37,450.35,2025-09,513.48,-29.9,2025-09,0,0,0.52,1,2025-03,1.13,3.06,4.43,"RAJSREESUG,"
The Grob Tea Company Ltd.,GROBTEA,Tea/Coffee,125.31,NSE,1078.10,-0.96,1,2025-03,18.34,140.68,2025-06,112.4,6.29,2025-06,19.93,0.46,1.41,1,2025-03,0.21,12.08,13.58,"GROBTEA,"
B&A Ltd.,BNALTD,Tea/Coffee,124.28,BSE,400.00,-2.44,2,2025-09,86.85,173.71,2025-09,274.98,11.7,2025-09,13.27,0.87,0.9,2,2025-03,0.48,8.07,9.98,"BNALTD,"
Bengal Tea & Fabrics Ltd.,BENGALT,Tea/Coffee,122.48,BSE,136.00,0.70,1,2025-03,5.34,127.15,2025-06,51.7,1.19,2025-06,102.93,0.79,0.62,1,2025-03,0.03,-1.11,5.42,"BENGALT,"
Saptarishi Agro Industries Ltd.,SPTRSHI,Agriculture,118.92,BSE,34.99,,1,2025-03,13.9,132.76,2025-06,91.46,2.13,2025-06,55.73,0.63,11.96,1,2025-03,1.4,24.82,16.3,"SPTRSHI,"
Mayank Cattle Food Ltd.,MCFL,Solvent  Extraction,110.7,BSE,205.00,,1,2025-09,30.88,140.74,2025-03,390.86,4.97,2025-03,22.26,,3.45,2,2025-03,1.13,15.79,16.1,"MCFL,"
Piccadily Sugar & Allied Industries Ltd.,PICCASUG,Sugar,110.32,BSE,47.49,0.44,1,2025-09,22.03,131.65,2025-09,1.36,2.41,2025-09,45.74,,8.61,1,2024-03,1.25,-14.45,-9.15,"PICCASUG,"
Gayatri Sugars Ltd.,GAYATRI,Sugar,105.95,BSE,14.35,2.06,1,2025-03,144.23,246.9,2025-06,344.24,0.16,2025-06,646.04,42.2,-1,1,2024-03,-1.34,0,93.27,"GAYATRI,"
IEL Ltd.,INDXTRA,Solvent  Extraction,105.88,BSE,8.08,-0.74,1,2025-03,0.9,81.56,2025-06,0.41,-0.61,2025-06,0,0,2.4,1,2025-03,0.02,1.87,2.44,"INDXTRA,"
Parvati Sweetners and Power Ltd.,PARVATI,Sugar,104.1,BSE,6.96,-3.33,1,2025-03,22.89,122.65,2025-06,27.14,-2.94,2025-06,0,0,1.06,1,2025-03,0.22,0.58,2.2,"PARVATI,"
Raghuvansh Agrofarms Ltd.,RAFL,Agriculture,100.11,BSE,84.00,,1,2025-03,19.16,117.89,2025-03,6.43,4.98,2025-03,20.08,-2.61,1.58,2,2025-03,0.26,8.7,9.94,"RAFL,"
Shri Vasuprada Plantations Ltd.,"VASUPRADA ",Tea/Coffee,94.69,BSE,114.30,1.87,2,2025-03,57.35,151.22,2025-06,133.21,9.35,2025-06,10.13,0.77,0.78,2,2025-03,0.45,4.94,7.26,"VASUPRADA ,"
Gujarat Peanut and Agri Products Ltd.,GPAPL,Agriculture,93.38,BSE,91.00,4.12,1,2025-03,38.89,132.23,,,,2025-03,14.38,,2.17,1,2025-03,2.02,43.12,22.21,"GPAPL,"
Norben Tea & Exports Ltd.,NORBTEAEXP,Tea/Coffee,91.49,NSE,58.86,-2.01,1,2025-09,8.59,99.82,2025-09,6.72,-0.78,2025-09,0,0,4.62,1,2025-03,0.62,-1.27,3.93,"NORBTEAEXP,"
Himalaya Food lnternational Ltd.,HFIL,Agriculture,89.71,BSE,10.26,-2.75,1,2025-03,,84.88,2025-06,40.23,5.08,2025-06,17.64,,0.49,2,2024-03,0,3.62,3.63,"HFIL,"
Narmada Agrobase Ltd.,NARMADA,Agriculture,86.23,NSE,22.77,0.53,1,2025-03,9.47,80.89,2025-06,64.5,4.09,2025-06,21.09,0.54,1.52,1,2025-03,0.17,11.24,13.04,"NARMADA,"
Kesar Enterprises Ltd.,KESARENT,Sugar,86.08,BSE,8.54,1.30,1,2025-03,71.79,156.72,2025-06,284.7,-70.88,2025-06,0,,-0.56,1,2025-03,-0.52,0,0,"KESARENT,"
Prudential Sugar Corporation Ltd.,PRUDMOULI,Sugar,84.53,NSE,26.27,-0.19,2,2025-03,48.35,132.45,2025-06,63.58,5.79,2025-06,14.61,0.68,0.77,2,2025-03,0.43,5.46,7.67,"PRUDMOULI,"
Transchem Ltd.,TRANSCHEM,Agriculture,84.46,BSE,69.00,1.47,1,2025-09,,83.58,2025-09,2.63,3.79,2025-09,22.28,0.34,1.04,1,2025-03,0,6.74,9.12,"TRANSCHEM,"
