Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Investment Corporation Ltd.,TATAINVEST,Finance - NBFC,39598.41,NSE,781.25,1.96,2,2025-09,237.93,2025-09,112.56,4.01,1.25,2,2025-03,0,1.02,1.21,"TATAINVEST,"
Poonawalla Fincorp Ltd.,POONAWALLA,Finance - NBFC,37657.05,NSE,463.60,0.15,2,2025-09,217.86,2025-09,172.85,,3.81,2,2025-03,3.22,-1.22,4.82,"POONAWALLA,"
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Finance - Investment,35369.76,NSE,1884.10,-4.49,2,2025-09,4921.37,2025-09,15.87,0.5,2.59,2,2025-03,14.05,41.92,11.41,"CHOLAHLDNG,"
Go Digit General Insurance Ltd.,GODIGIT,Insurance,33254.38,NSE,360.35,1.36,1,2025-09,488.97,2025-09,68.01,,7.6,1,2025-03,0.09,12.98,11.73,"GODIGIT,"
Central Depository Services (India) Ltd.,CDSL,Depository Services,32996.92,NSE,1578.80,2.99,2,2025-09,472.66,2025-09,69.76,1.85,18.94,2,2025-03,0,32.65,43.12,"CDSL,"
LIC Housing Finance Ltd.,LICHSGFIN,Finance - Housing,31411.35,NSE,571.20,0.18,2,2025-09,5522.24,2025-09,5.69,0.32,0.82,2,2025-03,7.44,16.05,8.94,"LICHSGFIN,"
TVS Holdings Ltd.,TVSHLTD,Finance - Investment,30405.82,NSE,15012.00,-0.05,2,2025-09,2934.99,2025-09,21.01,0.84,5.52,2,2025-03,6.93,63.22,17.56,"TVSHLTD,"
Piramal Finance Ltd.,PIRAMALFIN,Finance - Housing,30226.34,NSE,1323.00,7822.16,1,2021-06,-14806.78,2025-03,576.29,,-3.69,2,2025-03,3.41,-0.04,6.65,"PIRAMALFIN,"
The New India Assurance Company Ltd.,NIACL,Insurance,29977.12,NSE,181.92,-0.37,2,2025-06,1131.79,2025-06,25.03,-3.34,1.29,2,2025-03,0,4.64,4.86,"NIACL,"
ICICI Securities Ltd.,ISEC,Finance - Stock Broking,29132.36,NSE,896.20,,1,2024-12,2092.85,2024-12,13.92,0.49,5.9,2,2025-03,3.84,41.94,18.37,"ISEC,"
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Insurance,28657.51,NSE,488.65,0.40,1,2025-09,533.07,2025-09,53.76,,3.9,1,2025-03,0.07,9.67,12.04,"STARHEALTH,"
Nuvama Wealth Management Ltd.,NUVAMA,Finance - Others,26354.82,NSE,7300.00,-0.11,2,2025-09,1014.39,2025-09,25.7,,6.99,2,2025-03,2.3,31.64,20.45,"NUVAMA,"
Anand Rathi Wealth Ltd.,ANANDRATHI,Finance - Others,25938.14,NSE,3121.50,0.55,2,2025-09,344.84,2025-09,75.52,,32.08,2,2025-03,0.03,45.55,61.54,"ANANDRATHI,"
Angel One Ltd.,ANGELONE,Finance - Stock Broking,23759.85,NSE,2616.40,5.22,2,2025-09,782.19,2025-09,30.38,0.43,4.09,2,2025-03,0.62,27.79,25.91,"ANGELONE,"
PNB Housing Finance Ltd.,PNBHOUSING,Finance - Housing,23340.26,NSE,896.15,-1.36,2,2025-09,2148.74,2025-09,10.86,0.44,1.3,2,2025-03,3.71,12.2,9.44,"PNBHOUSING,"
Manappuram Finance Ltd.,MANAPPURAM,Finance - NBFC,22904.52,NSE,270.65,-1.22,2,2025-09,425.06,2025-09,51,-13.82,1.8,2,2025-03,2.81,10.04,11.31,"MANAPPURAM,"
IIFL Finance Ltd.,IIFL,Finance - NBFC,22364.62,NSE,526.30,1.07,2,2025-09,1025.18,2025-09,26.06,2.3,1.72,2,2025-03,4.17,5.07,8.12,"IIFL,"
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Finance - Asset Management,22041.38,NSE,763.20,-0.93,2,2025-09,970.98,2025-09,22.7,,6.18,2,2025-03,0,27.7,36.27,"ABSLAMC,"
CreditAccess Grameen Ltd.,CREDITACC,Finance - NBFC,21562.85,NSE,1346.90,0.70,2,2025-09,133.69,2025-09,161.29,16.53,3.01,2,2025-03,2.96,7.9,9.55,"CREDITACC,"
Aadhar Housing Finance Ltd.,AADHARHFC,Finance - Housing,21420.77,NSE,494.55,-0.98,2,2025-09,987.93,2025-09,21.68,,3.11,2,2025-03,2.56,16.93,11.45,"AADHARHFC,"
National Securities Depository Ltd.,NSDL,Depository Services,21392,BSE,1069.60,1.12,2,,,2025-03,62.34,,3.51,2,2025-03,0,18.61,24.8,"NSDL,"
KFin Technologies Ltd.,KFINTECH,Depository Services,19161.13,NSE,1111.00,4.60,2,2025-09,346.1,2025-09,55.41,,13.1,2,2025-03,0,26.41,35.5,"KFINTECH,"
Five-Star Business Finance Ltd.,FIVESTAR,Finance - NBFC,19033.35,NSE,646.10,3.49,1,2025-09,1105.43,2025-09,17.22,,2.8,1,2025-03,1.26,18.81,16.34,"FIVESTAR,"
Capri Global Capital Ltd.,CGCL,Finance - Investment,18920.76,NSE,196.49,-0.51,2,2025-09,716.72,2025-09,26.4,1.09,2.84,2,2025-03,3.65,11.86,11.18,"CGCL,"
JSW Holdings Ltd.,JSWHL,Finance - Investment,18891.62,NSE,17042.00,2.34,2,2025-09,117.76,2025-09,151.63,11.69,0.56,2,2025-03,0,0.62,0.82,"JSWHL,"
Computer Age Management Services Ltd.,CAMS,Depository Services,18811.54,NSE,3795.30,1.48,2,2025-09,459.19,2025-09,40.58,1.82,15.52,2,2025-03,0,48.11,61.67,"CAMS,"
Maharashtra Scooters Ltd.,MAHSCOOTER,Finance - Investment,16606.85,NSE,14490.00,-1.89,1,2025-09,357.36,2025-09,46.47,-45.56,0.5,1,2025-03,0,0.74,0.74,"MAHSCOOTER,"
Choice International Ltd.,CHOICEIN,Finance - Stock Broking,16497.68,NSE,802.30,0.43,2,2025-09,188.68,2025-09,87.44,1.3,15.66,2,2025-03,0.57,23.78,23.09,"CHOICEIN,"
RRP Semiconductor Ltd.,RRP,Finance - Investment,16055.07,BSE,11784.40,2.00,1,2025-06,6.5,2025-06,0,0,996.15,1,2025-03,0.71,208.52,80.18,"RRP,"
UTI Asset Management Company Ltd.,UTIAMC,Finance - Asset Management,15480.27,NSE,1209.00,0.58,2,2025-09,661.64,2025-09,26.33,1.2,3.53,2,2025-03,0,18.36,23.7,"UTIAMC,"
Sammaan Capital Ltd.,SAMMAANCAP,Finance - Housing,15401.37,NSE,185.41,0.06,2,2025-09,1269.25,2025-09,12.13,,0.69,2,2025-03,1.98,-8.77,3.64,"SAMMAANCAP,"
JM Financial Ltd.,JMFINANCIL,Finance - Investment,15189.49,NSE,158.85,-1.90,2,2025-09,1154.94,2025-09,13.3,1.56,1.48,2,2025-03,1.18,8.5,10.06,"JMFINANCIL,"
Aptus Value Housing Finance India Ltd.,APTUS,Finance - Housing,14639.31,NSE,292.40,-0.83,2,2025-09,843.33,2025-09,17.36,,3.14,2,2025-03,1.59,18.64,15.08,"APTUS,"
IFCI Ltd.,IFCI,Finance Term Lending,14613.96,NSE,54.23,0.13,2,2025-06,499.01,2025-06,45.78,2.02,1.67,2,2025-03,0.43,5.48,11.51,"IFCI,"
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Insurance,14035.13,NSE,76.03,0.80,1,2025-09,92.61,2025-09,151.55,,3.69,1,2025-03,0.08,8.36,7.62,"NIVABUPA,"
TSF Investments Ltd.,TSFINV,Finance - Investment,13103.02,NSE,589.95,0.37,2,2025-09,87.92,2025-09,27.85,0.71,2.22,2,2025-03,0,1.48,2.27,"TSFINV,"
SBFC Finance Ltd.,SBFC,Finance - NBFC,12492.68,NSE,113.97,1.40,1,2025-09,392.5,2025-09,31.83,,3.63,2,2025-03,1.68,11.73,11.55,"SBFC,"
Aavas Financiers Ltd.,AAVAS,Finance - Housing,12455.31,NSE,1574.10,-1.86,1,2025-06,587.24,2025-06,21.21,0.93,2.81,2,2024-03,3.31,14.13,9.96,"AAVAS,"
Can Fin Homes Ltd.,CANFINHOME,Finance - Housing,11736.87,NSE,880.75,0.36,1,2025-09,921.34,2025-09,12.74,0.71,2.15,1,2025-03,6.88,18.22,9.39,"CANFINHOME,"
Home First Finance Company India Ltd.,HOMEFIRST,Finance - Housing,11735.52,NSE,1132.00,-0.35,1,2025-09,452.81,2025-09,25.92,0.7,2.92,1,2025-03,3.88,16.81,11.35,"HOMEFIRST,"
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,Insurance,11675.5,NSE,122.86,1.11,1,,,2025-03,99.81,,7.57,1,2025-03,0,7.97,8.73,"CANHLIFE,"
Prudent Corporate Advisory Services Ltd.,PRUDENT,Finance - Others,10931.36,NSE,2635.00,5.77,2,2025-09,205.25,2025-09,53.26,,14.33,2,2025-03,0,34.05,46.03,"PRUDENT,"
IIFL Capital Services Ltd.,IIFLCAPS,Finance - Stock Broking,10450.82,NSE,337.50,1.67,2,2025-09,585.93,2025-09,17.87,0.49,4.04,2,2025-03,0.39,34.1,34.69,"IIFLCAPS,"
Edelweiss Financial Services Ltd.,EDELWEISS,Finance - NBFC,10415.77,NSE,110.03,-0.38,2,2025-06,553.21,2025-06,25.61,1.5,2.48,2,2025-03,4.37,12.64,14.31,"EDELWEISS,"
India Shelter Finance Corporation Ltd.,INDIASHLTR,Finance - Housing,9472.1,NSE,873.25,3.23,2,2025-09,445.76,2025-09,21.25,,3.25,2,2025-03,1.85,15.22,12.74,"INDIASHLTR,"
Kama Holdings Ltd.,KAMAHOLD,Finance - Investment,9411.36,BSE,2934.90,0.15,2,2025-06,1439.53,2025-06,12.94,3.64,1.23,2,2025-03,0.64,18.14,17.87,"KAMAHOLD,"
Religare Enterprises Ltd.,RELIGARE,Finance - Investment,8546.7,NSE,258.30,1.12,2,2025-06,164.68,2025-06,72.76,4.36,3.39,2,2025-03,0.06,7.56,11.46,"RELIGARE,"
Bengal & Assam Company Ltd.,BENGALASM,Finance - NBFC,8499.78,BSE,7429.00,-1.07,2,2025-06,318.33,2025-06,11.62,5.87,0.86,2,2025-03,0.06,3.18,4.49,"BENGALASM,"
Canara Robeco Asset Management Co Ltd.,CRAMC,Finance - Asset Management,6353.44,NSE,318.75,2.52,1,,,2025-03,33.32,,9.36,1,2025-03,0,36.17,49.19,"CRAMC,"
Pilani Investment And Industries Corporation Ltd.,PILANIINVS,Finance - Investment,5829.98,NSE,5281.00,3.63,2,2025-09,99.47,2025-09,201.23,-18.53,0.36,2,2025-03,0.12,0.99,1.75,"PILANIINVS,"
MAS Financial Services Ltd.,MASFIN,Finance - NBFC,5584.23,NSE,307.35,1.04,2,2025-09,341.82,2025-09,16.53,1.26,1.99,2,2025-03,3.51,14.3,11.5,"MASFIN,"
Fedbank Financial Services Ltd,FEDFINA,Finance - NBFC,5152.08,NSE,137.89,0.89,1,2025-09,245.57,2025-09,20.98,,1.9,1,2025-03,4.04,9.41,9.94,"FEDFINA,"
Indo Thai Securities Ltd.,INDOTHAI,Finance - Investment,4749.58,NSE,380.60,-0.57,2,2025-09,21.35,2025-09,223.03,10.04,21.89,2,2025-03,0.02,6.76,8.83,"INDOTHAI,"
Northern ARC Capital Ltd.,NORTHARC,Finance - NBFC,4344.52,NSE,268.90,2.19,2,2025-09,284.85,2025-09,15.18,,1.19,2,2025-03,2.91,10.78,9.88,"NORTHARC,"
Colab Platforms Ltd.,COLAB,Finance - Investment,4173.84,BSE,204.60,1.99,2,2025-03,2.86,2025-03,0,,162.01,2,2025-03,0,12.38,16.63,"COLAB,"
Share India Securities Ltd.,SHAREINDIA,Finance - Stock Broking,3904.94,NSE,178.38,-0.94,2,2025-09,278.45,2025-09,14.06,0.27,1.56,2,2025-03,0.21,16.61,21,"SHAREINDIA,"
Spice Lounge Food Works Ltd.,SPICELOUNG,Finance - Investment,3613.19,BSE,51.50,-3.23,2,2025-06,4.46,2025-06,809.59,,33.6,2,2025-03,0.46,5.19,6.66,"SPICELOUNG,"
Anand Rathi Share & Stock Brokers Ltd.,ARSSBL,Finance - Stock Broking,3592.9,NSE,572.95,6.24,2,,,2025-03,34.68,,2.76,2,2025-03,1.85,23.35,21.28,"ARSSBL,"
Indostar Capital Finance Ltd.,INDOSTAR,Finance - NBFC,3574.96,NSE,261.01,2.76,2,2025-09,569.94,2025-09,5.77,0.31,0.89,2,2025-03,2.07,1.6,7.43,"INDOSTAR,"
Nalwa Sons Investments Ltd.,NSIL,Finance - Investment,3513.39,NSE,6812.50,2.99,2,2025-06,41.48,2025-06,81.06,4.28,0.21,2,2025-03,0,0.31,0.44,"NSIL,"
Paisalo Digital Ltd.,PAISALO,Finance - NBFC,3277.92,NSE,36.00,-1.88,2,2025-06,205.8,2025-06,15.93,0.53,2.1,2,2025-03,2.35,14.08,13.18,"PAISALO,"
Tourism Finance Corporation Of India Ltd.,TFCILTD,Finance Term Lending,3163.06,NSE,68.26,0.52,1,2025-06,108.97,2025-06,29.03,5.71,2.54,1,2025-03,0.71,9,11.01,"TFCILTD,"
Fusion Finance Ltd.,FUSION,Finance - NBFC,2822.66,NSE,174.06,1.55,1,2025-09,-998.27,2025-09,0,,1.45,1,2025-03,3.97,-55.13,-2.96,"FUSION,"
Muthoot Microfin Ltd.,MUTHOOTMF,Finance - NBFC,2802.89,NSE,165.34,2.47,1,2025-09,-360.65,2025-09,0,,1.04,1,2025-03,3.03,-8.24,5.89,"MUTHOOTMF,"
Repco Home Finance Ltd.,REPCOHOME,Finance - Housing,2661.36,NSE,425.60,-2.24,2,2025-06,438.16,2025-06,5.73,0.63,0.75,2,2025-03,3.25,13.59,10.97,"REPCOHOME,"
Elcid Investments Ltd.,ELCIDIN,Finance - Investment,2657.72,BSE,132001.00,,2,2025-09,75.94,2025-06,30.31,1.91,0.29,2,2025-03,0,1.47,1.98,"ELCIDIN,"
Ugro Capital Ltd.,UGROCAP,Finance - NBFC,2470.59,NSE,176.94,-0.21,1,2025-09,155.49,2025-09,15.89,0.32,0.99,1,2025-03,3.87,8.95,11.05,"UGROCAP,"
Summit Securities Ltd.,SUMMITSEC,Finance - NBFC,2438.95,NSE,2246.10,3.69,2,2025-09,101.35,2025-09,24.06,14.95,0.22,2,2025-03,0,0.73,1.06,"SUMMITSEC,"
Monarch Networth Capital Ltd.,MONARCH,Finance - Stock Broking,2413.72,NSE,305.15,-0.33,2,2025-06,154.46,2025-06,15.63,0.12,2.91,2,2025-03,0.01,26.59,33.26,"MONARCH,"
PTC India Financial Services Ltd.,PFS,Finance - NBFC,2299.37,NSE,35.85,0.59,2,2025-09,350.08,2025-09,6.57,0.45,0.77,2,2025-03,1.03,8.2,9.96,"PFS,"
Systematix Corporate Services Ltd.,SYSTMTXC,Finance - Investment,2242.64,NSE,163.41,0.36,2,2025-06,54.48,2025-06,41.16,0.63,7.23,2,2025-03,0.07,20.25,24.86,"SYSTMTXC,"
Rane Holdings Ltd.,RANEHOLDIN,Finance - Investment,2230.05,NSE,1566.60,1.04,2,2025-06,214.53,2025-06,9.25,0.06,1.94,2,2025-03,0.9,21.95,21.64,"RANEHOLDIN,"
Kalyani Investment Company Ltd.,KICL,Finance - Investment,2226.31,NSE,5060.00,1.16,2,2025-06,44.35,2025-06,34.68,4.18,0.26,2,2025-03,0,0.84,1.15,"KICL,"
SG Finserve Ltd.,SGFIN,Finance - NBFC,2177.95,NSE,389.85,3.97,1,2025-09,100.4,2025-09,21.69,0.15,2.03,1,2025-03,1.54,9.54,6.83,"SGFIN,"
Spandana Sphoorty Financial Ltd.,SPANDANA,Finance - NBFC,2134.88,NSE,240.90,0.84,2,2025-09,-1483.93,2025-09,0,,0.95,2,2025-03,2.21,-33.73,-4.14,"SPANDANA,"
Mufin Green Finance Ltd.,MUFIN,Finance - Investment,2105.73,NSE,121.52,0.02,2,2025-06,18.01,2025-06,113.06,,7.04,2,2025-03,2.85,8.13,12.44,"MUFIN,"
Geojit Financial Services Ltd.,GEOJITFSL,Finance - Stock Broking,2019.45,NSE,72.25,0.33,2,2025-09,116.31,2025-09,17.25,0.63,1.73,2,2025-03,0.1,16.79,20.82,"GEOJITFSL,"
DAM Capital Advisors Ltd.,DAMCAPITAL,Finance - Investment,1864.34,NSE,263.22,3.35,2,2025-09,112.39,2025-09,16.59,,6.02,2,2025-03,0.01,48.78,64.06,"DAMCAPITAL,"
Haryana Financial Corporation Ltd.,HARAFIN,Finance Term Lending,1847.53,BSE,88.97,,1,2025-06,-2.1,2025-06,0,0,8.25,1,2024-03,0,16.77,17.86,"HARAFIN,"
Algoquant Fintech Ltd.,ALGOQUANT,Finance - Stock Broking,1816.44,BSE,64.62,-2.27,2,2025-03,31.89,2025-03,56.95,,13.93,2,2025-03,0.29,37.89,33.57,"ALGOQUANT,"
Arman Financial Services Ltd.,ARMANFIN,Finance - NBFC,1740.68,NSE,1654.90,2.08,2,2025-06,6.18,2025-06,281.39,60.78,2.05,2,2025-03,1.43,6.24,13.31,"ARMANFIN,"
Balmer Lawrie Investments Ltd.,BLIL,Finance - NBFC,1733.16,BSE,78.09,-0.32,2,2025-06,209.81,2025-06,9.9,0.97,1.21,2,2025-03,0.06,20.53,27.4,"BLIL,"
BF Investment Ltd.,BFINVEST,Finance - Investment,1728.94,NSE,458.65,-0.02,2,2025-06,24.94,2025-06,22.13,1.74,0.25,2,2025-03,0,3.39,4.62,"BFINVEST,"
Satin Creditcare Network Ltd.,SATIN,Finance Term Lending,1684.13,NSE,151.04,1.40,2,2025-09,134.41,2025-09,12.53,3.36,0.64,2,2025-03,3.46,7.53,11.87,"SATIN,"
Centrum Capital Ltd.,CENTRUM,Finance - Others,1601.63,NSE,34.81,0.00,2,2025-09,-149.82,2025-09,0,,5.78,2,2025-03,69.27,-47.11,9.92,"CENTRUM,"
PNB Gilts Ltd.,PNBGILTS,Finance - NBFC,1584.99,NSE,88.04,-0.88,1,2025-09,179.62,2025-09,8.82,-6.84,0.97,1,2025-03,14.48,16.21,6.82,"PNBGILTS,"
Master Trust Ltd.,MASTERTR,Finance - NBFC,1546.93,NSE,125.85,-1.78,2,2025-09,118.21,2025-09,13.08,0.22,2.05,2,2025-03,0.42,23.91,30.16,"MASTERTR,"
LKP Finance Ltd.,LKPFIN,Finance - Investment,1511.74,BSE,984.10,-1.56,1,2025-06,1.89,2025-06,799.44,53.4,3.17,2,2025-03,0.1,0.52,1.34,"LKPFIN,"
Finkurve Financial Services Ltd.,FINKURVE,Finance - NBFC,1499.94,NSE,107.11,-5.15,1,2025-06,18.11,2025-06,82.82,2.44,6,1,2025-03,1.15,8.85,11.46,"FINKURVE,"
Jindal Photo Ltd.,JINDALPHOT,Finance - Investment,1398.36,NSE,1366.30,2.15,2,2025-06,-2.98,2025-06,6.06,0.05,1.45,2,2025-03,0.06,14,13.8,"JINDALPHOT,"
SMC Global Securities Ltd.,SMCGLOBAL,Finance - Stock Broking,1384.13,NSE,130.93,0.61,2,2025-09,98.91,2025-09,14.16,0.32,1.1,2,2025-03,1.36,12.7,14.81,"SMCGLOBAL,"
Saraswati Commercial (India) Ltd.,ZSARACOM,Finance - NBFC,1358.78,BSE,12312.00,1.58,2,2025-06,24.56,2025-06,55.33,1.11,1.37,2,2025-03,0.04,6.42,8.25,"ZSARACOM,"
Capital India Finance Ltd.,CIFL,Finance - Investment,1346.44,NSE,34.56,1.53,2,2025-06,-9.51,2025-06,0,0,2.29,2,2025-03,1.64,-1.74,6.51,"CIFL,"
Dolat Algotech Ltd.,DOLATALGO,Finance - Stock Broking,1334.43,NSE,75.90,-1.54,2,2025-06,183.11,2025-06,7.31,0.29,1.28,2,2025-03,0.07,24.07,35.52,"DOLATALGO,"
Ashika Credit Capital Ltd.,ASHIKA,Finance - NBFC,1300,BSE,340.40,-2.52,2,2025-03,-51.48,2025-03,0,,2.24,2,2025-03,0,-23.32,-22.15,"ASHIKA,"
