Sector: Banking,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
Indian Overseas Bank,IOB,Bank - Public,76198.33,NSE,39.59,2.25,2,2025-09,29989.07,4306.8,2025-09,17.3,,2.47,2,2025-03,12.65,1,2025-03,0.37,2.88,11.46,43.65,"IOB,"
Yes Bank Ltd.,YESBANK,Bank - Private,71754.24,NSE,22.85,0.97,2,2025-09,30449.57,2837.15,2025-09,25.29,1.53,1.46,2,2025-03,5.51,1,2025-03,0.3,2.49,12.55,34.26,"YESBANK,"
IDFC First Bank Ltd.,IDFCFIRSTB,Bank - Private,70050.88,NSE,81.47,1.37,2,2025-09,38335.01,1437.04,2025-09,48.75,2.4,1.33,2,2025-03,4.24,1,2025-03,0.53,5.87,15.66,46.91,"IDFCFIRSTB,"
AU Small Finance Bank Ltd.,AUBANK,Bank - Private,67805.78,NSE,908.70,3.14,1,2025-09,17273.8,2173.87,2025-09,31.19,1.22,3.74,1,2025-03,14.26,1,2025-03,0.74,5.19,15,29.17,"AUBANK,"
Bank Of India,BANKINDIA,Bank - Public,65831.58,NSE,144.58,3.15,2,2025-09,73784.35,9496.01,2025-09,6.83,0.18,0.88,2,2025-03,13.72,1,2025-03,0.82,2.42,10.9,34.84,"BANKINDIA,"
IndusInd Bank Ltd.,INDUSINDBK,Bank - Private,62080.67,NSE,797.25,1.41,2,2025-09,47307.12,-759.46,2025-09,0,0,0.96,2,2025-03,4.05,1,2025-03,0.95,3.67,14.11,32.84,"INDUSINDBK,"
The Federal Bank Ltd.,FEDERALBNK,Bank - Private,58373.36,NSE,237.26,0.61,2,2025-09,28739.84,4023.21,2025-09,14.8,0.69,1.61,2,2025-03,13,1,2025-03,0.44,2.85,11.23,30.45,"FEDERALBNK,"
Bank Of Maharashtra,MAHABANK,Bank - Public,45849.36,NSE,59.62,3.83,2,2025-09,27237.83,6126.7,2025-09,7.53,0.11,1.55,2,2025-03,24.41,1,2025-03,0.18,3.24,10.57,53.28,"MAHABANK,"
UCO Bank,UCOBANK,Bank - Public,40803.72,NSE,32.52,1.78,1,2025-09,25937.73,2518.46,2025-09,16.2,,1.39,2,2025-03,9.39,1,2025-03,0.5,2.79,11.65,35.83,"UCOBANK,"
Central Bank Of India,CENTRALBK,Bank - Public,35264.26,NSE,38.96,2.23,2,2025-09,34595.01,4490.25,2025-09,7.7,0.2,1.02,2,2025-03,12.47,1,2025-03,0.55,3.02,11.92,48.97,"CENTRALBK,"
Bandhan Bank Ltd.,BANDHANBNK,Bank - Private,24768.69,NSE,153.71,0.51,1,2025-09,21742.03,1228.22,2025-09,20.17,-10.56,1.01,1,2025-03,11.96,1,2025-03,1.28,6.3,16.63,31.37,"BANDHANBNK,"
Karur Vysya Bank Ltd.,KARURVYSYA,Bank - Private,24063.06,NSE,249.12,0.98,1,2025-09,10378.46,2104.8,2025-09,11.43,0.22,1.88,1,2025-03,17.68,1,2025-03,0.2,3.68,11.52,27.27,"KARURVYSYA,"
Punjab & Sind Bank,PSB,Bank - Public,22003.41,NSE,31.01,2.55,1,2025-09,11999.61,1158.42,2025-09,18.99,0.77,1.75,1,2025-03,7.59,1,2025-03,0.96,2.47,11.8,31.43,"PSB,"
RBL Bank Ltd.,RBLBANK,Bank - Private,20137.55,NSE,328.25,0.81,2,2025-09,13962.25,540.99,2025-09,37.22,4.98,1.26,2,2025-03,4.75,1,2025-03,0.29,4.71,15.16,34.15,"RBLBANK,"
City Union Bank Ltd.,CUB,Bank - Private,18900.45,NSE,255.42,0.21,1,2025-09,6269.91,1208.46,2025-09,15.64,0.84,1.9,1,2025-03,12.58,1,2025-03,1.25,3.1,11.2,28.52,"CUB,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,Bank - Private,11584.44,NSE,105.21,2.39,2,2025-09,12985.51,2097.76,2025-09,5.54,0.18,0.85,2,2025-03,17.46,1,2025-03,0.79,3.73,12.03,47.01,"J&KBANK,"
The South Indian Bank Ltd.,SOUTHBANK,Bank - Private,10224.07,NSE,39.06,6.23,2,2025-09,9513.67,1358.17,2025-09,7.53,,0.96,2,2025-03,13.77,1,2025-03,0.92,2.91,10.99,31.37,"SOUTHBANK,"
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Bank - Private,10140.69,NSE,52.38,2.30,1,2025-09,6465.58,416.95,2025-09,24.32,1.55,1.63,1,2025-03,14.35,1,2025-03,0.49,7.86,20.24,25.56,"UJJIVANSFB,"
Tamilnad Mercantile Bank Ltd.,TMB,Bank - Private,8071.17,NSE,510.20,3.02,1,2025-09,5472.33,1214.54,2025-09,6.65,,0.85,1,2025-03,13.97,1,2025-03,0.36,3.62,12.03,26.44,"TMB,"
CSB Bank Ltd.,CSBBANK,Bank - Private,7492.85,NSE,431.50,1.67,1,2025-09,4050.37,621,2025-09,12.07,0.1,1.66,1,2025-03,15.01,1,2025-03,0.52,3.18,11.42,24.19,"CSBBANK,"
Equitas Small Finance Bank Ltd.,EQUITASBNK,Bank - Private,6920,NSE,60.58,-0.10,1,2025-09,6522.11,-91.22,2025-09,0,0,1.18,1,2025-03,2.46,1,2025-03,0.98,6.37,17.43,28.79,"EQUITASBNK,"
The Karnataka Bank Ltd.,KTKBANK,Bank - Private,6842.07,NSE,180.95,1.80,2,2025-09,8941.94,1147.89,2025-09,5.96,0.25,0.58,2,2025-03,11.61,1,2025-03,1.31,3.04,11.78,31.75,"KTKBANK,"
DCB Bank Ltd.,DCBBANK,Bank - Private,5586.53,NSE,173.66,7.03,1,2025-09,7049.26,669.68,2025-09,8.34,0.66,0.97,1,2025-03,12.09,1,2025-03,1.12,2.85,12.68,24.52,"DCBBANK,"
Jana Small Finance Bank Ltd.,JSFB,Bank - Private,5009.19,NSE,476.25,2.34,1,2025-09,4931.63,411.06,2025-09,12.19,,1.17,1,2025-03,13.1,1,2025-03,0.94,6.37,17.34,17.98,"JSFB,"
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Bank - Private,3010.95,NSE,16.89,-1.80,1,2025-06,3679.92,-353.18,2025-06,0,,0.83,1,2025-03,0.81,1,2025-03,4.84,7.46,20.12,21.79,"UTKARSHBNK,"
Fino Payments Bank Ltd.,FINOPB,Bank - Private,2320.13,NSE,279.00,2.42,1,2025-09,223.23,80.22,2025-09,28.92,,3.08,1,2025-03,13.74,1,2025-03,,2.71,0,100,"FINOPB,"
Suryoday Small Finance Bank Ltd.,SURYODAY,Bank - Private,1529.51,NSE,143.28,-3.93,1,2025-09,1973.26,65.21,2025-09,23.46,32.58,0.77,1,2025-03,6.2,1,2025-03,4.58,7.46,19.59,20.91,"SURYODAY,"
ESAF Small Finance Bank Ltd.,ESAFSFB,Bank - Private,1416.24,NSE,27.48,0.77,1,2025-06,3667.99,-665.38,2025-06,0,,0.76,1,2025-03,-23.53,1,2025-03,2.99,7.89,21.42,24.84,"ESAFSFB,"
Capital Small Finance Bank Ltd.,CAPITALSFB,Bank - Private,1224.99,NSE,272.50,1.43,1,2025-09,969.97,135.19,2025-09,9.06,,0.88,1,2025-03,10.44,1,2025-03,1.3,4.14,12.81,36.94,"CAPITALSFB,"
Dhanlaxmi Bank Ltd.,DHANBANK,Bank - Private,1036.48,NSE,26.20,-0.34,1,2025-09,1436.58,84.21,2025-09,12.31,47.34,0.82,1,2025-03,6.33,1,2025-03,0.99,2.84,11.04,29.02,"DHANBANK,"
Dhanlaxmi Bank Ltd. - (Rights Entitlements (REs)),DHAN-RE,Bank - Private,0,NSE,2.63,,1,,,,-0,,,,1,-0,,,,,,,,"DHAN-RE,"
Utkarsh Small Finance Bank Ltd. - (Rights Entitlements (REs)),UTKAR-RE,Bank - Private,0,NSE,3.59,,1,,,,-0,,,,1,-0,,,,,,,,"UTKAR-RE,"
